age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat.x,lng.x,lat.y,lng.y,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class,total_pop,white,prop_white,black,prop_black,asian,prop_asian,am_in_alask,prop_am_in_alask,hawaii_pi,prop_hawaii_pi,other,prop_other
62,Male,Unknown race,Marinette County Sheriff's Office,Pending investigation,2020,10,23,Goodman,WI,NA,Gunshot,No known charges,No,45.6231,-88.3518,45.6231,-88.3518,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,Unknown race,Kansas Highway Patrol; Montgomery County Sheriff's Department,Pending investigation,2020,10,23,Coffeyville,KS,Montgomery,Gunshot,No known charges,No,37.0518,-95.618,37.0518,-95.618,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Male,Unknown race,Roane County Sheriff's Department,Pending investigation,2020,10,22,Roane County,WV,Roane,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Male,Unknown race,Anchorage Police Department,Pending investigation,2020,10,22,Eagle River,AK,NA,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Black,San Bernardino Police Department,Pending investigation,2020,10,22,San Bernardino,CA,NA,Gunshot,No known charges,No,34.1417,-117.2946,34.1417,-117.2946,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,Hispanic,Casa Grande Police Department,Pending investigation,2020,10,22,Casa Grande,AZ,Pinal,Gunshot,No known charges,No,32.9068,-111.7624,32.9068,-111.7624,Arizona,0500000US04021,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057,78763,16706,Middle,462789,366928,79.28624059776702,21264,4.594750523456694,6642,1.4352112949962077,25035,5.4095927085561675,1197,0.25864919001964176,21525,4.6511477152654885
35,Male,Unknown race,Manatee County Sheriff's Office,Pending investigation,2020,10,21,Bradenton,FL,Manatee,Gunshot,No known charges,No,27.49,-82.5739,27.49,-82.5739,Florida,0500000US12081,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499,92213,27714,Middle,403253,343991,85.30401509722184,36200,8.97699459148475,8590,2.1301763409075694,569,0.14110248404847575,0,0,7020,1.7408425975752195
45,Male,Black,Moss Point Police Department,Pending investigation,2020,10,21,Moss Point,MS,Jackson,Gunshot,No known charges,No,30.424,-88.5289,30.424,-88.5289,Mississippi,0500000US28059,56323,3.7,4.6,10,13.5,15.1,16.9,14.1,13.3,4.5,4.1,52476,76123,23647,Very Low,143617,103118,71.80069211862106,29785,20.73918825765752,3541,2.4655855504571185,1078,0.7506075186085213,0,0,2479,1.7261187742398185
NA,Male,Unknown race,Escambia County Sheriff's Office,Pending investigation,2020,10,20,Perdido Key,FL,Escambia,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Male,Unknown race,Hernando County Sheriff's Office,Pending investigation,2020,10,20,Spring Hill,FL,Hernando,Gunshot,No known charges,No,28.4797,-82.53,28.4797,-82.53,Florida,0500000US12053,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031,62821,11790,Very Low,193920,169692,87.50618811881188,11013,5.67914603960396,1931,0.9957714521452145,371,0.19131600660066006,225,0.11602722772277227,3248,1.6749174917491747
48,Male,Black,Elmwood Place Police Department,Pending investigation,2020,10,20,Elmwood Place,OH,Hamilton,Gunshot,No known charges,No,39.1855,-84.489,39.1855,-84.489,Ohio,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,89581,29383,Middle,817473,550516,67.34363092114357,209849,25.670450277868508,21332,2.6095051457357,868,0.10618087692192892,547,0.06691352497269024,5760,0.7046104275003578
NA,Male,Unknown race,Phoenix Police Department,Pending investigation,2020,10,20,Phoenix,AZ,NA,Gunshot,No known charges,No,33.5722,-112.0891,33.5722,-112.0891,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Waukegan Police Department,Pending investigation,2020,10,20,Waukegan,IL,NA,Gunshot,No known charges,No,42.3697,-87.8716,42.3697,-87.8716,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Frederick County Sheriff's Department,Pending investigation,2020,10,19,Emmitsburg,MD,Frederick,Gunshot,No known charges,No,39.7051,-77.3216,39.7051,-77.3216,Maryland,0500000US24021,93768,1.8,2.1,3.4,4.8,8.9,13.8,13,25,13.4,13.8,103516,122496,18980,Very High,259547,206661,79.62372903558894,27065,10.427783792530834,12349,4.757905119304018,963,0.3710310656644076,77,0.029667073786250657,3076,1.1851418047598314
46,Male,Unknown race,Suffolk County Police Department,Pending investigation,2020,10,19,Coram,NY,Suffolk,Gunshot,No known charges,No,40.8813,-73.0059,40.8813,-73.0059,New York,0500000US36103,499744,2.9,1.9,4.5,4.7,7.5,13.1,12,21.1,13.3,18.9,106228,138724,32496,Very High,1476601,1177731,79.75959653284808,112956,7.649730699085263,59658,4.040224813609092,5145,0.34843535931507563,384,0.026005671132553754,87282,5.911007780707179
43,Male,Unknown race,South Milwaukee Police Department,Pending investigation,2020,10,19,South Milwaukee,WI,NA,Gunshot,No known charges,Yes,42.912,-87.8627,42.912,-87.8627,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Male,Unknown race,Tooele Police Department,Pending investigation,2020,10,18,Tooele,UT,NA,Gunshot,No known charges,No,40.5393,-112.3082,40.5393,-112.3082,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,White,Fresno Police Department,Pending investigation,2020,10,18,Fresno,CA,NA,Gunshot,No known charges,No,36.7831,-119.7941,36.7831,-119.7941,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Male,Unknown race,Sunrise Police Department,Pending investigation,2020,10,18,Sunrise,FL,NA,Gunshot,No known charges,Yes,26.1547,-80.2997,26.1547,-80.2997,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,Unknown race,Wood County Sheriff's Department,Pending investigation,2020,10,17,Wood County,WV,Wood,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Male,Unknown race,"Greenville Police Department, Kentucky State Troopers",Pending investigation,2020,10,17,Muhlenberg County,KY,NA,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,"New Mexico State Police, Pueblo of Laguna Police Department",Pending investigation,2020,10,17,Laguna,NM,NA,Gunshot,No known charges,No,35.0504,-107.4071,35.0504,-107.4071,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Black,Rock Island Police Department,Pending investigation,2020,10,16,Rock Island,IL,NA,Gunshot,No known charges,No,41.4699,-90.5827,41.4699,-90.5827,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Black,Los Angeles County Sheriff's Department,Pending investigation,2020,10,16,Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,34.1139,-118.4068,34.1139,-118.4068,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High,10039107,5234081,52.136918154174474,811176,8.08016091471084,1474713,14.68968305647106,81491,0.8117355458010358,26307,0.2620452197590881,1997842,19.900594744134114
57,Male,Unknown race,Huntsville Police Department,Pending investigation,2020,10,16,Huntsville,AL,NA,Gunshot,No known charges,No,34.6988,-86.6412,34.6988,-86.6412,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Sioux Falls Police Department,Pending investigation,2020,10,16,Sioux Falls,SD,NA,Gunshot,No known charges,No,43.5397,-96.732,43.5397,-96.732,South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Cherokee County Sheriff's Department,Pending investigation,2020,10,14,Cookson,OK,Cherokee,"Gunshot, Taser",No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Los Angeles Police Department,Pending investigation,2020,10,14,South Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,White,Chico Police Department,Pending investigation,2020,10,14,Chico,CA,Butte,"Gunshot, Taser",No known charges,No,39.7575,-121.8152,39.7575,-121.8152,California,0500000US06007,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563,91685,29122,Middle,219186,175765,80.18988439042639,3984,1.8176343379595412,10365,4.728860419917331,2333,1.064392798810143,798,0.36407434781418524,12272,5.598897739819149
27,Male,Hispanic,Bakersfield Police Department,Pending investigation,2020,10,13,Bakersfield,CA,Kern,Gunshot,No known charges,No,35.3529,-119.0359,35.3529,-119.0359,California,0500000US06029,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,22602,Very Low,900202,645240,71.67724577372634,46432,5.157953437117447,42066,4.672951182068025,8906,0.9893335051466227,907,0.10075516384100457,122148,13.568954523540272
24,Male,NA,NA,Pending investigation,2020,10,12,Bethel Springs,TN,McNairy,Gunshot,No known charges,No,35.2341,-88.6131,35.2341,-88.6131,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,NA,Billings Police Department,Pending investigation,2020,10,12,Billings,MT,Yellowstone,Gunshot,No known charges,No,45.7891,-108.5524,45.7891,-108.5524,Montana,0500000US30111,69989,4.1,3.4,12.4,7.5,12.8,19.9,11.8,14.5,7.2,6.3,61186,88264,27078,Middle,161300,144096,89.33415995040298,1586,0.9832610043397395,1123,0.6962182269063856,7623,4.725976441413515,0,0,1328,0.8233106013639182
29,Male,Unknown race,Mohave County Sheriff's Office,Pending investigation,2020,10,10,Kingman,AZ,Mojave,Gunshot,No known charges,NA,35.217,-114.0105,35.217,-114.0105,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,Hispanic,San Francisco Police Department,Pending investigation,2020,10,10,San Francisco,CA,San Francisco,Gunshot,No known charges,No,37.7562,-122.443,37.7562,-122.443,California,0500000US06075,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,173858,49999,Very High,881549,398662,45.22289742260499,48225,5.470484340632228,307649,34.898684020967636,3568,0.40474210735875144,3785,0.42935786893298045,69536,7.887933625924368
41,Female,White,Horry County Police Department,Pending investigation,2020,10,9,Myrtle Beach,SC,Horry,Gunshot,No known charges,Yes,33.7096,-78.8843,33.7096,-78.8843,South Carolina,0500000US45051,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low,354081,288077,81.35906755798814,44829,12.660662390808882,5426,1.5324177236282095,765,0.21605225922882051,0,0,7122,2.0114041702322347
29,Male,White,"Kansas Bureau of Investigation, Kansas Highway Patrol",Pending investigation,2020,10,9,Salina,KS,Saline,Gunshot,No known charges,No,38.8137,-97.6143,38.8137,-97.6143,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Male,Unknown race,Houston Police Department,Pending investigation,2020,10,9,Houston,TX,Harris,Gunshot,No known charges,No,29.7863,-95.3889,29.7863,-95.3889,Texas,0500000US48201,1647384,6.1,3.4,8.8,9.2,12.7,18.1,12,14.1,6.8,8.9,61618,92488,30870,Middle,4713325,2895713,61.436735213463955,901998,19.137190836617464,331518,7.033633369224486,20316,0.4310332939061066,2396,0.050834601899932635,436847,9.268340290559212
25,Male,White,Pine County Sheriff's Office,Pending investigation,2020,10,9,Hinkley,MN,Pine,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Male,Black,New York Police Department,Pending investigation,2020,10,8,Queens,NY,Queens,Gunshot,No known charges,No,40.7498,-73.7976,40.7498,-73.7976,New York,0500000US36081,784552,5.6,3.7,6.6,7.9,10.5,16.3,12.9,17.8,9.5,9.3,73696,96631,22935,High,2253858,821416,36.44488694496281,415664,18.442333101730455,588964,26.131371186649737,11642,0.516536534244837,1030,0.04569941850817576,328194,14.56143199793421
29,Male,White,Stockton Police Department,Pending investigation,2020,10,8,Stockton,CA,San Joaquin,Physical Restraint,No known charges,NA,37.9765,-121.3109,37.9765,-121.3109,California,0500000US06077,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997,92484,23487,High,762148,431364,56.59845594294022,52493,6.887507413258318,123090,16.15040648273039,4831,0.6338663881555813,5279,0.6926476222465978,55774,7.318001228107926
47,Male,Unknown race,Martin County Sheriff's Office,Pending investigation,2020,10,8,Palm City,FL,Martin,Gunshot,No known charges,Yes,27.1736,-80.2861,27.1736,-80.2861,Florida,0500000US12085,65014,4.3,3.5,7.4,9.1,11.7,15.7,14.7,16.1,7.5,10,70842,110379,39537,High,161000,144003,89.44285714285715,7813,4.852795031055901,2398,1.4894409937888198,672,0.41739130434782606,0,0,2483,1.5422360248447204
62,Male,White,Cumberland County Sheriff's Office,Pending investigation,2020,10,6,Fayetteville,NC,Cumberland,Gunshot,No known charges,Yes,35.0846,-78.9776,35.0846,-78.9776,North Carolina,0500000US37051,128135,9,5.1,10.8,11.7,17.9,17.6,11.2,11.3,3.2,2.3,46292,61315,15023,Very Low,335509,164571,49.05114318840925,123893,36.92687826556069,9338,2.7832338327734876,5130,1.529020085899335,1310,0.39045152290996665,10824,3.2261429648683047
48,Female,White,Nassau County Sheriff's Office,Pending investigation,2020,10,6,Hillard,FL,Nassau,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Male,Unknown race,Scott County Sheriff's Office,Pending investigation,2020,10,6,Georgetown,KY,Scott,Gunshot,No known charges,No,38.2249,-84.5482,38.2249,-84.5482,Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Male,Unknown race,Napa County Sheriff's Office,Pending investigation,2020,10,5,Napa,CA,Napa,Gunshot,No known charges,No,38.2976,-122.3011,38.2976,-122.3011,California,0500000US06055,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769,130499,37730,Very High,137744,101380,73.60030200952492,3314,2.4059124172377744,11552,8.386572191892206,815,0.5916773144383785,271,0.19674178185619698,14604,10.602276687187826
27,Male,Hispanic,Dona Ana County Sheriff's Office,Pending investigation,2020,10,4,Las Cruces,NM,Dona Ana,Gunshot,No known charges,No,32.3265,-106.7892,32.3265,-106.7892,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Male,Black,Philadelphia Police Department,Pending investigation,2020,10,8,Philadelphia,PA,Philadelphia,Gunshot,No known charges,No,40.0077,-75.1339,40.0077,-75.1339,Pennsylvania,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,72748,25274,Very Low,1584064,617726,38.99627792816452,657343,41.497250111106624,119641,7.552788271180963,7211,0.45522150620176965,897,0.05662649993939639,128826,8.132625954506889
41,Male,Unknown race,Vancouver Police Department,Pending investigation,2020,10,4,Vancouver,WA,Clark,Gunshot,No known charges,No,45.6366,-122.5967,45.6366,-122.5967,Washington,0500000US53011,180862,3.1,2.4,6,6.4,11.2,17.3,15.6,21,8.6,8.4,80555,99612,19057,Very High,488241,410386,84.05398153780612,10764,2.2046489336208963,22008,4.507609971305154,2727,0.5585356412099762,4374,0.8958690482773877,11597,2.3752613975475225
30,Male,Unknown race,California Highway Patrol,Pending investigation,2020,10,4,Chula Vista,CA,San Diego,Gunshot,No known charges,No,32.6281,-117.0145,32.6281,-117.0145,California,0500000US06073,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,28801,Very High,3338330,2368310,70.94295650819421,164475,4.92686462991975,404836,12.126901774240412,23116,0.6924420293979325,13736,0.41146321663825924,177471,5.3161610745492505
31,Male,Black,Wolfe City Police Department,Charged with murder,2020,10,3,Wolfe City,TX,Hunt,"Gunshot, Taser",Charged with a crime,No,33.3687,-96.072,33.3687,-96.072,Texas,0500000US48231,35093,7,3.5,10.9,9.4,10.5,22.6,13.8,12.9,5.2,4.2,58063,70814,12751,Low,98594,80915,82.06888857334118,7805,7.916303223319877,1082,1.0974298638862405,987,1.0010751161328275,0,0,5108,5.180842647625616
20,Male,Unknown race,Myrtle Beach Police Department,Pending investigation,2020,10,3,Myrtle Beach,SC,Horry,Gunshot,No known charges,No,33.7096,-78.8843,33.7096,-78.8843,South Carolina,0500000US45051,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low,354081,288077,81.35906755798814,44829,12.660662390808882,5426,1.5324177236282095,765,0.21605225922882051,0,0,7122,2.0114041702322347
38,Male,White,Leon County Sheriff's Office,Pending investigation,2020,10,2,Tallahassee,FL,Leon,Gunshot,No known charges,No,30.4551,-84.2526,30.4551,-84.2526,Florida,0500000US12073,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,21040,Very Low,293582,178573,60.825595574660575,92373,31.46412245982383,11072,3.7713483796690532,548,0.18665994509200157,71,0.02418404398089801,3260,1.1104223010947538
39,Male,Unknown race,Kern County Sheriff's Office,Pending investigation,2020,10,2,Mojave,CA,Kern,Gunshot,No known charges,No,35.0139,-118.1895,35.0139,-118.1895,California,0500000US06029,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,22602,Very Low,900202,645240,71.67724577372634,46432,5.157953437117447,42066,4.672951182068025,8906,0.9893335051466227,907,0.10075516384100457,122148,13.568954523540272
33,Male,White,Cowlitz County Sheriff's Office,Pending investigation,2020,10,2,Longview,WA,Cowlitz,Gunshot,No known charges,No,46.1461,-122.9629,46.1461,-122.9629,Washington,0500000US53015,42790,5.7,3.9,9.4,11.3,14.5,19.4,14.3,11.6,5.6,4.4,55497,75014,19517,Low,110593,98387,88.96313509896649,660,0.5967827981879504,1505,1.3608456231407051,689,0.6230050726537847,272,0.24594685016230683,1139,1.02990243505466
46,Male,Hispanic,Fresno Police Department,Pending investigation,2020,10,2,Fresno,CA,Fresno,"Gunshot, Taser",No known charges,No,36.7831,-119.7941,36.7831,-119.7941,California,0500000US06019,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518,76573,19055,Low,999101,638792,63.93667907448797,47391,4.743364284491758,104859,10.49533530644049,13588,1.360022660371674,1953,0.19547573268368262,152697,15.28343981239134
NA,Unknown,Unknown race,Raleigh County Sheriff's Office,Pending investigation,2020,10,1,Coal City,WV,Raleigh,Gunshot,No known charges,No,37.6776,-81.218,37.6776,-81.218,West Virginia,0500000US54081,31331,8.3,6.4,16.1,10.6,11.3,14,17.9,11,1.3,3.1,46540,63432,16892,Very Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Male,White,Riley County Police Department,Pending investigation,2020,9,30,Manhattan,KS,Riley,Gunshot,No known charges,Yes,39.1886,-96.6046,39.1886,-96.6046,Kansas,0500000US20161,25662,7,5.4,14.5,8.1,13.8,21.8,9.8,11.9,4.2,3.6,50920,66449,15529,Very Low,74232,61679,83.08950317922191,2535,3.41496928548335,3501,4.716294859359845,1466,1.9748895355102922,991,1.335003771958185,608,0.8190537773466968
